team,path,distance
Wisconsin,Wisconsin->Michigan,1
Purdue,Purdue->Michigan,1
Duke,Duke->Michigan,1
Arizona,Arizona->Purdue->Michigan,2
UConn,UConn->Duke->Michigan,2
BYU,BYU->Wisconsin->Michigan,2
Villanova,Villanova->Wisconsin->Michigan,2
UCLA,UCLA->Purdue->Michigan,2
Iowa State,Iowa State->Purdue->Michigan,2
Illinois,Illinois->Purdue->Michigan,2
Michigan State,Michigan State->Purdue->Michigan,2
UNC,UNC->Duke->Michigan,2
Ohio State,Ohio State->Wisconsin->Michigan,2
USC,USC->Wisconsin->Michigan,2
High Point,High Point->Wisconsin->Michigan,2
Nebraska,Nebraska->Wisconsin->Michigan,2
TCU,TCU->Wisconsin->Michigan,2
Texas Tech,Texas Tech->Duke->Michigan,2
Oregon,Oregon->Wisconsin->Michigan,2
Indiana,Indiana->Wisconsin->Michigan,2
Houston,Houston->BYU->Wisconsin->Michigan,3
St. John's (NY),St. John's (NY)->Villanova->Wisconsin->Michigan,3
Louisville,Louisville->Indiana->Wisconsin->Michigan,3
Arkansas,Arkansas->High Point->Wisconsin->Michigan,3
Alabama,Alabama->Texas Tech->Duke->Michigan,3
Tennessee,Tennessee->Iowa State->Purdue->Michigan,3
Kansas,Kansas->BYU->Wisconsin->Michigan,3
Auburn,Auburn->Oregon->Wisconsin->Michigan,3
Gonzaga,Gonzaga->Oregon->Wisconsin->Michigan,3
UCF,UCF->BYU->Wisconsin->Michigan,3
Cincinnati,Cincinnati->BYU->Wisconsin->Michigan,3
Clemson,Clemson->UNC->Duke->Michigan,3
Pitt,Pitt->Ohio State->Wisconsin->Michigan,3
UAB,UAB->High Point->Wisconsin->Michigan,3
Colorado,Colorado->TCU->Wisconsin->Michigan,3
Utah State,Utah State->Villanova->Wisconsin->Michigan,3
California,California->UNC->Duke->Michigan,3
Washington,Washington->USC->Wisconsin->Michigan,3
Winthrop,Winthrop->High Point->Wisconsin->Michigan,3
Georgetown,Georgetown->Villanova->Wisconsin->Michigan,3
Maryland,Maryland->Oregon->Wisconsin->Michigan,3
Appalachian State,Appalachian State->High Point->Wisconsin->Michigan,3
NC State,NC State->UNC->Duke->Michigan,3
Notre Dame,Notre Dame->TCU->Wisconsin->Michigan,3
Virginia,Virginia->Ohio State->Wisconsin->Michigan,3
VCU,VCU->UNC->Duke->Michigan,3
Marquette,Marquette->UConn->Duke->Michigan,3
Miami (FL),Miami (FL)->UNC->Duke->Michigan,3
Minnesota,Minnesota->Indiana->Wisconsin->Michigan,3
Northwestern,Northwestern->USC->Wisconsin->Michigan,3
Southern Illinois,Southern Illinois->High Point->Wisconsin->Michigan,3
SMU,SMU->UNC->Duke->Michigan,3
New Orleans,New Orleans->TCU->Wisconsin->Michigan,3
Utah,Utah->TCU->Wisconsin->Michigan,3
Texas,Texas->BYU->Wisconsin->Michigan,3
Kentucky,Kentucky->Indiana->Wisconsin->Michigan,3
West Virginia,West Virginia->BYU->Wisconsin->Michigan,3
San Diego State,San Diego State->Oregon->Wisconsin->Michigan,3
Iowa,Iowa->Nebraska->Wisconsin->Michigan,3
Oklahoma State,Oklahoma State->BYU->Wisconsin->Michigan,3
Arizona State,Arizona State->Texas Tech->Duke->Michigan,3
Stanford,Stanford->UNC->Duke->Michigan,3
Creighton,Creighton->Villanova->Wisconsin->Michigan,3
Rutgers,Rutgers->Oregon->Wisconsin->Michigan,3
Florida,Florida->Texas->BYU->Wisconsin->Michigan,4
Quinnipiac,Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,4
North Dakota,North Dakota->Winthrop->High Point->Wisconsin->Michigan,4
Mercer,Mercer->Appalachian State->High Point->Wisconsin->Michigan,4
James Madison,James Madison->Appalachian State->High Point->Wisconsin->Michigan,4
Hofstra,Hofstra->Pitt->Ohio State->Wisconsin->Michigan,4
Charlotte,Charlotte->UAB->High Point->Wisconsin->Michigan,4
Dayton,Dayton->Georgetown->Villanova->Wisconsin->Michigan,4
Florida Atlantic,Florida Atlantic->UAB->High Point->Wisconsin->Michigan,4
Boston College,Boston College->Pitt->Ohio State->Wisconsin->Michigan,4
George Mason,George Mason->Winthrop->High Point->Wisconsin->Michigan,4
Georgia Tech,Georgia Tech->NC State->UNC->Duke->Michigan,4
Penn State,Penn State->Minnesota->Indiana->Wisconsin->Michigan,4
Providence,Providence->St. John's (NY)->Villanova->Wisconsin->Michigan,4
Syracuse,Syracuse->Tennessee->Iowa State->Purdue->Michigan,4
Wake Forest,Wake Forest->West Virginia->BYU->Wisconsin->Michigan,4
Baylor,Baylor->Washington->USC->Wisconsin->Michigan,4
Texas-Rio Grande Valley,Texas-Rio Grande Valley->New Orleans->TCU->Wisconsin->Michigan,4
Boise State,Boise State->San Diego State->Oregon->Wisconsin->Michigan,4
Colorado State,Colorado State->Colorado->TCU->Wisconsin->Michigan,4
San Francisco,San Francisco->Minnesota->Indiana->Wisconsin->Michigan,4
Cal Poly,Cal Poly->Utah->TCU->Wisconsin->Michigan,4
Bradley,Bradley->Southern Illinois->High Point->Wisconsin->Michigan,4
Drake,Drake->Southern Illinois->High Point->Wisconsin->Michigan,4
Southern Miss,Southern Miss->Appalachian State->High Point->Wisconsin->Michigan,4
Eastern Michigan,Eastern Michigan->Cincinnati->Iowa State->Purdue->Michigan,4
Georgia State,Georgia State->Appalachian State->High Point->Wisconsin->Michigan,4
Texas State,Texas State->Appalachian State->High Point->Wisconsin->Michigan,4
