team,path,distance
Texas,Texas->UCLA,1
South Carolina,South Carolina->Texas->UCLA,2
Vanderbilt,Vanderbilt->Texas->UCLA,2
LSU,LSU->Texas->UCLA,2
Oklahoma,Oklahoma->South Carolina->Texas->UCLA,3
Duke,Duke->LSU->Texas->UCLA,3
Ole Miss,Ole Miss->Vanderbilt->Texas->UCLA,3
Kentucky,Kentucky->LSU->Texas->UCLA,3
Georgia,Georgia->Vanderbilt->Texas->UCLA,3
Notre Dame,Notre Dame->Vanderbilt->Texas->UCLA,3
Baylor,Baylor->Duke->LSU->Texas->UCLA,4
Maryland,Maryland->Kentucky->LSU->Texas->UCLA,4
UNC,UNC->Duke->LSU->Texas->UCLA,4
California,California->Notre Dame->Vanderbilt->Texas->UCLA,4
Florida,Florida->Ole Miss->Vanderbilt->Texas->UCLA,4
Mississippi State,Mississippi State->Kentucky->LSU->Texas->UCLA,4
Clemson,Clemson->Duke->LSU->Texas->UCLA,4
Alabama,Alabama->Kentucky->LSU->Texas->UCLA,4
South Florida,South Florida->Duke->LSU->Texas->UCLA,4
Kansas State,Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,4
West Virginia,West Virginia->Duke->LSU->Texas->UCLA,4
UConn,UConn->Notre Dame->Vanderbilt->Texas->UCLA,4
Louisville,Louisville->Notre Dame->Vanderbilt->Texas->UCLA,4
Tennessee,Tennessee->Kentucky->LSU->Texas->UCLA,4
Michigan,Michigan->Notre Dame->Vanderbilt->Texas->UCLA,4
Michigan State,Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,4
Virginia,Virginia->Georgia->Vanderbilt->Texas->UCLA,4
Minnesota,Minnesota->Ole Miss->Vanderbilt->Texas->UCLA,4
Texas A&M,Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,4
Georgia Tech,Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,4
San Diego State,San Diego State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
Iowa State,Iowa State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
Iowa,Iowa->Maryland->Kentucky->LSU->Texas->UCLA,5
Temple,Temple->South Florida->Duke->LSU->Texas->UCLA,5
Wake Forest,Wake Forest->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,5
Missouri,Missouri->Mississippi State->Kentucky->LSU->Texas->UCLA,5
Utah,Utah->West Virginia->Duke->LSU->Texas->UCLA,5
Oregon,Oregon->Maryland->Kentucky->LSU->Texas->UCLA,5
Stanford,Stanford->Clemson->Duke->LSU->Texas->UCLA,5
Washington,Washington->Maryland->Kentucky->LSU->Texas->UCLA,5
McNeese,McNeese->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,5
Nebraska,Nebraska->Virginia->Georgia->Vanderbilt->Texas->UCLA,5
St. John's (NY),St. John's (NY)->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,5
Auburn,Auburn->Alabama->Kentucky->LSU->Texas->UCLA,5
Miami (FL),Miami (FL)->California->Notre Dame->Vanderbilt->Texas->UCLA,5
East Carolina,East Carolina->South Florida->Duke->LSU->Texas->UCLA,5
Jacksonville,Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,5
UMBC,UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,5
South Dakota,South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
South Dakota State,South Dakota State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
Green Bay,Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
Texas Tech,Texas Tech->Mississippi State->Kentucky->LSU->Texas->UCLA,5
Villanova,Villanova->West Virginia->Duke->LSU->Texas->UCLA,5
NC State,NC State->Tennessee->Kentucky->LSU->Texas->UCLA,5
USC,USC->Clemson->Duke->LSU->Texas->UCLA,5
Illinois,Illinois->Maryland->Kentucky->LSU->Texas->UCLA,5
Virginia Tech,Virginia Tech->Clemson->Duke->LSU->Texas->UCLA,5
Florida Atlantic,Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,5
UT Arlington,UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,5
Syracuse,Syracuse->Clemson->Duke->LSU->Texas->UCLA,5
Wisconsin,Wisconsin->Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,5
Kansas,Kansas->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
Tulsa,Tulsa->Florida->Ole Miss->Vanderbilt->Texas->UCLA,5
Fairfield,Fairfield->South Florida->Duke->LSU->Texas->UCLA,5
TCU,TCU->Baylor->Duke->LSU->Texas->UCLA,5
Arizona,Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,5
UTSA,UTSA->South Florida->Duke->LSU->Texas->UCLA,5
Colorado,Colorado->Baylor->Duke->LSU->Texas->UCLA,5
Navy,Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,5
Columbia,Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,5
Rice,Rice->South Florida->Duke->LSU->Texas->UCLA,5
Ohio State,Ohio State->Maryland->Kentucky->LSU->Texas->UCLA,5
Princeton,Princeton->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,5
Grand Canyon,Grand Canyon->San Diego State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Loyola (MD),Loyola (MD)->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Southern,Southern->Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Oklahoma State,Oklahoma State->Texas Tech->Mississippi State->Kentucky->LSU->Texas->UCLA,6
Florida State,Florida State->Miami (FL)->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Marshall,Marshall->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Penn State,Penn State->San Diego State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Purdue,Purdue->Wisconsin->Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,6
Radford,Radford->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
Illinois State,Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Dayton,Dayton->Kansas->Minnesota->Ole Miss->Vanderbilt->Texas->UCLA,6
Missouri State,Missouri State->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
Troy,Troy->Missouri->California->Notre Dame->Vanderbilt->Texas->UCLA,6
Arizona State,Arizona State->Colorado->Baylor->Duke->LSU->Texas->UCLA,6
Eastern Washington,Eastern Washington->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
West Georgia,West Georgia->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Iona,Iona->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
Marquette,Marquette->Wisconsin->Michigan State->Ole Miss->Vanderbilt->Texas->UCLA,6
Memphis,Memphis->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,6
Oral Roberts,Oral Roberts->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
Stephen F. Austin,Stephen F. Austin->McNeese->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
UAB,UAB->UTSA->South Florida->Duke->LSU->Texas->UCLA,6
Northwestern State,Northwestern State->McNeese->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,6
Duquesne,Duquesne->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
Stetson,Stetson->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Binghamton,Binghamton->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
Charlotte,Charlotte->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,6
Tulane,Tulane->Temple->South Florida->Duke->LSU->Texas->UCLA,6
Austin Peay,Austin Peay->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,6
Holy Cross,Holy Cross->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
Quinnipiac,Quinnipiac->Fairfield->South Florida->Duke->LSU->Texas->UCLA,6
UCF,UCF->East Carolina->South Florida->Duke->LSU->Texas->UCLA,6
Miami (OH),Miami (OH)->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,6
James Madison,James Madison->East Carolina->South Florida->Duke->LSU->Texas->UCLA,6
Kent State,Kent State->Tulsa->Florida->Ole Miss->Vanderbilt->Texas->UCLA,6
North Texas,North Texas->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,6
UMass,UMass->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,6
Old Dominion,Old Dominion->East Carolina->South Florida->Duke->LSU->Texas->UCLA,6
Florida International,Florida International->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,6
